ordernumber;instock;_additionaltext;_supplier;_price
1273.045;120;;Primus;
1273.047;63;;Primus;
1273.048;68;;Primus;
1273.049;49;;Primus;
1273.050;42;;Primus;
1273.051;1;;Primus;
1273.052;21;;Primus;
1273.053;28;;Primus;
1273.054;22;;Primus;
1273.055;1;;Primus;
1273.056;1;;Primus;
1273.057;10;;Primus;
1273.059;10;;Primus;
1273.060;4;;Primus;
1273.087;1;;Primus;
1273.090;1;;Primus;
1275.001;31;;Primus;
130.002;1;;Primus;
13112031;2;;Primus;
13122018;999999;;Primus;
13122026;10;;Primus;
1314.000;38;;Primus;
13161015;11;;Primus;
13161016;454;;Primus;
13161018;2267;;Primus;
13162014;3;;Primus;
13163027;140;;Primus;
13181011;64;;Primus;
13716003;1;;Primus;
138.0003;72;;Primus;
15011008;1;;Primus;
15011018;2;;Primus;
15011019;1;;Primus;
15011021;1;;Primus;
15011022;2;;Primus;
15021056;9;;Primus;
15021058;45;;Primus;
1505.071;7;;Primus;
1505.090;2;;Primus;
1505.119;1;;Primus;
1505.129;13;;Primus;
1505.130;4;;Primus;
1505.136;76;;Primus;
1505.139;5;;Primus;
1513.003;1;;Primus;
1513.010;1;;Primus;
1514.000;3;;Primus;
1522.010;2;;Primus;
1522.011;1;;Primus;
1522.012;2;;Primus;
1522.019;6;;Primus;
1522.020;10;;Primus;
1522.021;6;;Primus;
1522.025;7;;Primus;
1522.026;6;;Primus;
1522.027;3;;Primus;
1522.028;2;;Primus;
1523.000;1;;Primus;
1523.002;1;;Primus;
1523.003;29;;Primus;
1523.004;80;;Primus;
1523.005;21;;Primus;
1523.007;12;;Primus;
1523.009;30;;Primus;
1523.010;1;;Primus;
1523.011;1;;Primus;
1523.012;31;;Primus;
1523.013;3;;Primus;
1523.015;1;;Primus;
1523.017;69;;Primus;
1523.018;100;;Primus;
1523.019;95;;Primus;
1523.020;71;;Primus;
1523.021;166;;Primus;
1523.022;888;;Primus;
1523.025;52;;Primus;
1523.026;75;;Primus;
1523.028;599;;Primus;
1523.029;4;;Primus;
1523.034;4;;Primus;
1523.043;1;;Primus;
15243011;95;;Primus;
1525.003;1;;Primus;
1525.012;41;;Primus;
15263003;2;;Primus;
1531.025;1;;Primus;
1531.034;1;;Primus;
1532.005;1;;Primus;
15331010;104;;Primus;
15383003;14;;Primus;
15383004;48;;Primus;
1540.000;7;;Primus;
1541.016;1;;Primus;
1541.019;1;;Primus;
1541.060;11;;Primus;
1541.118;1;;Primus;
1541.121;1;;Primus;
1541.127;1;;Primus;
1541.128;1;;Primus;
1541.129;45;;Primus;
1541.131;12;;Primus;
1542.017;14;;Primus;
1542.018;12;;Primus;
1542.020;24;;Primus;
1542.029;3;;Primus;
1542.033;1;;Primus;
1542.034;1;;Primus;
1543.005;3;;Primus;
1543.006;69;;Primus;
1543.008;24;;Primus;
1543.009;97;;Primus;
1543.010;1;;Primus;
1543.011;149;;Primus;
1543.012;5;;Primus;
1543.013;37;;Primus;
1543.014;40;;Primus;
1543.015;13;;Primus;
1543.016;17;;Primus;
1543.018;60;;Primus;
1543.019;80;;Primus;
1543.089;4;;Primus;
1543.096;2;;Primus;
1543.103;5;;Primus;
1544.012;8;;Primus;
1544.014;1;;Primus;
1545.009;40;;Primus;
1545.010;72;;Primus;
1545.011;15;;Primus;
1545.012;21;;Primus;
1545.013;2;;Primus;
1545.014;13;;Primus;
1551.006;4;;Primus;
1551.007;7;;Primus;
1551.008;5;;Primus;
1551.009;10;;Primus;
1551.011;14;;Primus;
1551.012;11;;Primus;
1551.013;7;;Primus;
1551.014;3;;Primus;
1551.015;5;;Primus;
1551.016;2;;Primus;
1551.017;1;;Primus;
1551.020;6;;Primus;
1551.022;3;;Primus;
1551.023;3;;Primus;
1551.025;6;;Primus;
1551.026;12;;Primus;
1551.027;1;;Primus;
1551.029;10;;Primus;
1551.030;1;;Primus;
1551.031;1;;Primus;
1551.032;6;;Primus;
1551.057;5;;Primus;
1551.058;5;;Primus;
1551.059;1;;Primus;
1551.060;5;;Primus;
1551.062;81;;Primus;
1551.064;7;;Primus;
1551.065;15;;Primus;
1551.066;11;;Primus;
1551.067;3;;Primus;
1551.069;7;;Primus;
1551.071;27;;Primus;
1551.072;3;;Primus;
1551.075;1;;Primus;
1551.076;14;;Primus;
1551.078;1;;Primus;
1551.079;47;;Primus;
1551.080;31;;Primus;
1551.082;40;;Primus;
1551.083;2;;Primus;
1551.084;7;;Primus;
1551.085;88;;Primus;
1551.086;43;;Primus;
1551.087;9;;Primus;
1551.088;97;;Primus;
1551.089;25;;Primus;
1551.090;57;;Primus;
1551.091;12;;Primus;
1551.092;52;;Primus;
1551.093;10;;Primus;
1551.094;16;;Primus;
1551.095;47;;Primus;
1551.096;18;;Primus;
1551.116;2;;Primus;
1551.117;1;;Primus;
1551.125;4;;Primus;
1551.126;15;;Primus;
1551.127;27;;Primus;
1551.128;2;;Primus;
1551.137;14;;Primus;
1551.143;5;;Primus;
1551.145;4;;Primus;
1551.147;9;;Primus;
1551.160;1;;Primus;
1551.197;1;;Primus;
1551.201;3;;Primus;
1551.202;1;;Primus;
1551.208;7;;Primus;
1551.209;71;;Primus;
1551.211;34;;Primus;
1551.212;30;;Primus;
1551.213;10;;Primus;
1551.214;4;;Primus;
1551.215;2;;Primus;
1551.217;83;;Primus;
1551.218;1;;Primus;
1551.219;3;;Primus;
1551.220;31;;Primus;
1551.221;52;;Primus;
1551.222;12;;Primus;
1551.223;12;;Primus;
1551.224;10;;Primus;
1551.225;10;;Primus;
1551.226;4;;Primus;
1551.228;84;;Primus;
1551.229;76;;Primus;
1551.230;13;;Primus;
1551.231;47;;Primus;
1551.232;87;;Primus;
1551.233;124;;Primus;
1551.234;183;;Primus;
1551.235;102;;Primus;
1551.236;128;;Primus;
1551.237;61;;Primus;
1551.238;63;;Primus;
1551.239;23;;Primus;
1551.240;1;;Primus;
1551.241;59;;Primus;
1551.242;60;;Primus;
1551.243;119;;Primus;
1551.244;111;;Primus;
1551.245;80;;Primus;
1551.246;52;;Primus;
1551.247;32;;Primus;
1551.248;1;;Primus;
1551.249;3;;Primus;
1551.250;54;;Primus;
1551.251;59;;Primus;
1551.252;66;;Primus;
1551.255;1;;Primus;
1551.257;1;;Primus;
1551.259;1;;Primus;
1551.260;1;;Primus;
1551.267;1;;Primus;
1551.269;4;;Primus;
1551.270;1;;Primus;
1551.273;1;;Primus;
1551.276;1;;Primus;
1551.278;1;;Primus;
1551.282;1;;Primus;
1551.283;2;;Primus;
1551.289;25;;Primus;
1551.301;4;;Primus;
1551.304;3;;Primus;
1551.305;1;;Primus;
1551.306;1;;Primus;
1551.307;42;;Primus;
1552.002;5;;Primus;
1552.009;4;;Primus;
1552.021;7;;Primus;
1552.022;9;;Primus;
1552.023;4;;Primus;
1552.027;6;;Primus;
1552.028;2;;Primus;
1552.029;7;;Primus;
1552.030;1;;Primus;
1552.031;2;;Primus;
1552.033;8;;Primus;
1552.035;9;;Primus;
1552.037;5;;Primus;
1552.038;3;;Primus;
1552.039;5;;Primus;
1552.041;5;;Primus;
1552.043;4;;Primus;
1552.044;4;;Primus;
1552.045;11;;Primus;
1552.047;5;;Primus;
1552.049;3;;Primus;
1552.050;2;;Primus;
1552.051;3;;Primus;
1552.061;9;;Primus;
1552.094;14;;Primus;
1552.102;1;;Primus;
1553.000;182;;Primus;
1553.001;1;;Primus;
1553.002;7;;Primus;
1553.003;79;;Primus;
1553.004;47;;Primus;
1553.005;10;;Primus;
1553.006;22;;Primus;
1553.007;9;;Primus;
1553.008;85;;Primus;
1553.009;21;;Primus;
1553.011;7;;Primus;
1553.013;9;;Primus;
1553.015;3;;Primus;
1553.017;71;;Primus;
1553.018;23;;Primus;
1553.019;152;;Primus;
1553.020;177;;Primus;
1553.021;145;;Primus;
1553.022;50;;Primus;
1553.023;63;;Primus;
1553.024;67;;Primus;
1553.025;191;;Primus;
1553.026;114;;Primus;
1553.027;73;;Primus;
1553.028;16;;Primus;
1553.030;1;;Primus;
1553.031;51;;Primus;
1553.032;31;;Primus;
1553.033;55;;Primus;
1553.034;23;;Primus;
1553.035;138;;Primus;
1553.036;164;;Primus;
1553.037;91;;Primus;
1553.038;20;;Primus;
1553.039;81;;Primus;
1553.041;17;;Primus;
1553.042;7;;Primus;
1553.043;2;;Primus;
1553.044;9;;Primus;
1553.045;44;;Primus;
1553.046;26;;Primus;
1553.047;3;;Primus;
1553.048;5;;Primus;
1553.049;1;;Primus;
1553.050;1;;Primus;
1553.051;16;;Primus;
1553.052;34;;Primus;
1553.055;14;;Primus;
1553.056;14;;Primus;
1553.057;17;;Primus;
1553.059;7;;Primus;
1553.060;3;;Primus;
1553.061;13;;Primus;
1553.062;11;;Primus;
1553.063;50;;Primus;
1553.064;10;;Primus;
1553.065;18;;Primus;
1553.066;33;;Primus;
1553.068;5;;Primus;
1553.070;2;;Primus;
1553.072;2;;Primus;
1553.102;5;;Primus;
1553.104;62;;Primus;
1553.112;15;;Primus;
1553.118;1;;Primus;
1553.122;8;;Primus;
1553.125;4;;Primus;
1553.134;1;;Primus;
1554.005;1;;Primus;
1555.020;1;;Primus;
1555.040;111;;Primus;
1555.053;1;;Primus;
1555.065;23;;Primus;
1555.066;5;;Primus;
1557.000;1;;Primus;
1561.001;201;;Primus;
1561.002;28;;Primus;
1561.003;12;;Primus;
1561.004;20;;Primus;
1561.005;3;;Primus;
1561.006;44;;Primus;
1561.007;20;;Primus;
1561.035;2;;Primus;
1561.036;21;;Primus;
1561.037;4;;Primus;
1561.038;15;;Primus;
1561.039;3;;Primus;
1561.040;1;;Primus;
1561.041;13;;Primus;
1561.042;5;;Primus;
1561.043;12;;Primus;
1561.044;28;;Primus;
1561.045;2;;Primus;
1561.046;16;;Primus;
1561.047;6;;Primus;
1561.049;4;;Primus;
1561.050;18;;Primus;
1561.052;54;;Primus;
1561.053;17;;Primus;
1561.054;12;;Primus;
1561.055;11;;Primus;
1561.056;14;;Primus;
1561.058;26;;Primus;
1561.059;22;;Primus;
1561.060;15;;Primus;
1561.061;18;;Primus;
1561.063;61;;Primus;
1561.064;25;;Primus;
1561.065;4;;Primus;
1561.066;20;;Primus;
1561.067;43;;Primus;
1561.068;5;;Primus;
1561.069;13;;Primus;
1561.070;8;;Primus;
1561.071;24;;Primus;
1561.072;29;;Primus;
1561.073;1;;Primus;
1561.074;27;;Primus;
1561.075;34;;Primus;
1561.076;17;;Primus;
1561.077;6;;Primus;
1561.078;11;;Primus;
1561.079;40;;Primus;
1561.080;59;;Primus;
1561.081;11;;Primus;
1561.082;38;;Primus;
1561.083;23;;Primus;
1561.084;27;;Primus;
1561.085;79;;Primus;
1561.086;46;;Primus;
1561.087;12;;Primus;
1561.088;99;;Primus;
1561.089;45;;Primus;
1561.090;37;;Primus;
1561.091;34;;Primus;
1561.092;31;;Primus;
1561.093;21;;Primus;
1561.094;18;;Primus;
1561.096;73;;Primus;
1561.097;13;;Primus;
1561.102;60;;Primus;
1561.106;1905;;Primus;
1561.107;23;;Primus;
1561.108;26;;Primus;
1561.112;6;;Primus;
1561.115;15;;Primus;
1561.116;5;;Primus;
1561.118;55;;Primus;
1561.119;60;;Primus;
1561.120;193;;Primus;
1561.121;50;;Primus;
1561.122;247;;Primus;
1561.123;20;;Primus;
1561.124;3;;Primus;
1561.125;9;;Primus;
1561.126;227;;Primus;
1561.129;38;;Primus;
1561.130;34;;Primus;
1561.131;80;;Primus;
1561.132;26;;Primus;
1561.133;171;;Primus;
1561.134;162;;Primus;
1561.135;50;;Primus;
1561.136;324;;Primus;
1561.137;185;;Primus;
1561.138;74;;Primus;
1561.139;329;;Primus;
1561.141;317;;Primus;
1561.142;196;;Primus;
1561.143;54;;Primus;
1561.150;43;;Primus;
1561.152;29;;Primus;
1561.153;91;;Primus;
1561.154;109;;Primus;
1561.155;59;;Primus;
1561.156;91;;Primus;
1561.157;93;;Primus;
1561.158;340;;Primus;
1561.159;151;;Primus;
1561.160;101;;Primus;
1561.161;76;;Primus;
1561.162;48;;Primus;
1561.163;136;;Primus;
1561.164;268;;Primus;
1561.165;277;;Primus;
1561.166;141;;Primus;
1561.167;59;;Primus;
1561.168;47;;Primus;
1561.169;95;;Primus;
1561.172;111;;Primus;
1561.185;34;;Primus;
1561.195;1;;Primus;
1561.196;1;;Primus;
1561.200;289;;Primus;
1561.201;37;;Primus;
1561.202;4;;Primus;
1561.210;23;;Primus;
1561.211;187;;Primus;
1561.212;89;;Primus;
1561.213;1;;Primus;
1561.214;74;;Primus;
1561.215;3;;Primus;
1561.217;13;;Primus;
1561.220;39;;Primus;
1561.225;1;;Primus;
1561.228;1;;Primus;
1561.232;1;;Primus;
1561.234;1;;Primus;
1561.236;190;;Primus;
1561.241;1;;Primus;
1561.245;24;;Primus;
15613001;999999;;Primus;
1562.000;3;;Primus;
1562.001;14;;Primus;
1562.005;28;;Primus;
1562.006;36;;Primus;
1562.007;3;;Primus;
1562.008;2;;Primus;
1562.009;14;;Primus;
1562.011;4;;Primus;
1562.014;9;;Primus;
1562.015;7;;Primus;
1562.016;7;;Primus;
1562.017;12;;Primus;
1562.018;38;;Primus;
1562.020;1;;Primus;
1562.021;1;;Primus;
1562.024;5;;Primus;
1562.027;2;;Primus;
1563.000;29;;Primus;
1563.001;18;;Primus;
1563.003;10;;Primus;
1563.004;149;;Primus;
1563.005;24;;Primus;
1563.006;65;;Primus;
1563.007;66;;Primus;
1563.008;9;;Primus;
1563.009;79;;Primus;
1563.010;118;;Primus;
1563.011;133;;Primus;
1563.012;98;;Primus;
1563.014;154;;Primus;
1563.015;75;;Primus;
1563.016;201;;Primus;
1563.018;6;;Primus;
1563.020;13;;Primus;
1563.021;4;;Primus;
1563.022;13;;Primus;
1563.023;13;;Primus;
1563.024;2;;Primus;
1563.025;43;;Primus;
1563.026;19;;Primus;
1563.027;10;;Primus;
1563.028;26;;Primus;
1563.029;45;;Primus;
1563.030;130;;Primus;
1563.031;1;;Primus;
1563.032;96;;Primus;
1563.033;57;;Primus;
1563.034;4;;Primus;
1563.035;75;;Primus;
1563.036;29;;Primus;
1563.037;42;;Primus;
1563.038;137;;Primus;
1563.039;79;;Primus;
1563.040;101;;Primus;
1563.041;12;;Primus;
1563.042;38;;Primus;
1563.044;9;;Primus;
1563.045;31;;Primus;
1563.046;13;;Primus;
1563.047;15;;Primus;
1563.048;5;;Primus;
1563.049;206;;Primus;
1563.050;28;;Primus;
1563.051;166;;Primus;
1563.052;13;;Primus;
1563.053;14;;Primus;
1563.054;204;;Primus;
1563.055;97;;Primus;
1563.056;40;;Primus;
1563.057;141;;Primus;
1563.058;168;;Primus;
1563.059;150;;Primus;
1563.060;17;;Primus;
1563.061;44;;Primus;
1563.062;44;;Primus;
1563.063;31;;Primus;
1563.064;73;;Primus;
1563.065;17;;Primus;
1563.066;88;;Primus;
1563.067;26;;Primus;
1563.068;20;;Primus;
1563.069;90;;Primus;
1563.070;80;;Primus;
1563.071;24;;Primus;
1563.072;131;;Primus;
1563.073;7;;Primus;
1563.074;135;;Primus;
1563.075;166;;Primus;
1563.076;14;;Primus;
1563.077;168;;Primus;
1563.078;9;;Primus;
1563.079;213;;Primus;
1563.080;15;;Primus;
1563.081;6;;Primus;
1563.082;121;;Primus;
1563.083;18;;Primus;
1563.084;144;;Primus;
1563.085;135;;Primus;
1563.086;4;;Primus;
1563.102;16;;Primus;
1563.105;85;;Primus;
1563.106;39;;Primus;
1563.112;17;;Primus;
1563.113;28;;Primus;
1563.114;43;;Primus;
1563.115;24;;Primus;
1563.116;9;;Primus;
1563.117;4;;Primus;
1563.118;77;;Primus;
1563.119;72;;Primus;
1563.122;9;;Primus;
1563.123;57;;Primus;
1563.124;14;;Primus;
1563.125;69;;Primus;
1563.126;20;;Primus;
1563.128;9;;Primus;
1563.129;26;;Primus;
1563.130;6;;Primus;
1563.131;33;;Primus;
1563.132;69;;Primus;
1563.133;63;;Primus;
1563.134;12;;Primus;
1563.135;11;;Primus;
1563.136;69;;Primus;
1563.137;92;;Primus;
1563.138;141;;Primus;
1563.139;14;;Primus;
1563.140;41;;Primus;
1563.141;41;;Primus;
1563.142;34;;Primus;
1563.143;22;;Primus;
1563.144;34;;Primus;
1563.145;20;;Primus;
1563.146;6;;Primus;
1563.147;7;;Primus;
1563.148;22;;Primus;
1563.149;60;;Primus;
1563.150;24;;Primus;
1563.151;55;;Primus;
1563.152;10;;Primus;
1563.153;168;;Primus;
1563.154;36;;Primus;
1563.155;24;;Primus;
1563.156;32;;Primus;
1563.157;8;;Primus;
1563.158;41;;Primus;
1563.160;20;;Primus;
1563.161;1;;Primus;
1564.009;3;;Primus;
1564.025;1;;Primus;
1564.034;1;;Primus;
1564.080;1;;Primus;
1564.081;1;;Primus;
1564.082;1;;Primus;
1564.086;1;;Primus;
1564.087;1;;Primus;
1564.107;1;;Primus;
1564.108;1;;Primus;
1564.196;1;;Primus;
1564.201;14;;Primus;
1564.202;100;;Primus;
1564.203;31;;Primus;
1564.204;1;;Primus;
1565.012;2;;Primus;
1565.017;11;;Primus;
1565.018;6;;Primus;
1565.028;1;;Primus;
1565.030;1;;Primus;
1565.049;108;;Primus;
1565.051;97;;Primus;
1565.066;53;;Primus;
1565.070;4;;Primus;
1565.077;13;;Primus;
1565.079;21;;Primus;
1565.114;147;;Primus;
1565.115;13;;Primus;
1565.116;13;;Primus;
1565.216;1;;Primus;
15672001;7;;Primus;
1569.000;12;;Primus;
1569.007;14;;Primus;
1569.008;3;;Primus;
1569.009;12;;Primus;
1569.013;35;;Primus;
1569.014;14;;Primus;
1569.019;6;;Primus;
1569.021;12;;Primus;
1569.022;5;;Primus;
1569.025;1;;Primus;
1569.029;4;;Primus;
1569.031;5;;Primus;
1569.032;2;;Primus;
1569.074;1;;Primus;
1569.075;1;;Primus;
1569.076;1;;Primus;
1569.081;10;;Primus;
1569.084;1;;Primus;
1569.108;7;;Primus;
1581.018;3;;Primus;
1591.005;11;;Primus;
1591.006;2;;Primus;
1591.008;7;;Primus;
1591.009;2;;Primus;
1591.011;3;;Primus;
1591.014;1;;Primus;
1591.015;5;;Primus;
1591.016;1;;Primus;
1591.017;2;;Primus;
1591.020;3;;Primus;
1591.021;1;;Primus;
1591.022;1;;Primus;
1591.024;3;;Primus;
1591.026;4;;Primus;
1591.029;2;;Primus;
1591.030;6;;Primus;
